"section","np","x_over_c","eta","z_over_c","cp","surface","source"
"3","34","0.00222","0.65","0.00806","0.325","upper","NASA Glenn ONERA M6 test 2308"
"3","33","0.00914","0.65","0.0164","-0.324","upper","NASA Glenn ONERA M6 test 2308"
"3","32","0.02036","0.65","0.02273","-0.918","upper","NASA Glenn ONERA M6 test 2308"
"3","31","0.03508","0.65","0.02693","-1.181","upper","NASA Glenn ONERA M6 test 2308"
"3","30","0.06022","0.65","0.03128","-1.14","upper","NASA Glenn ONERA M6 test 2308"
"3","29","0.10029","0.65","0.03626","-1.031","upper","NASA Glenn ONERA M6 test 2308"
"3","28","0.15032","0.65","0.04078","-0.941","upper","NASA Glenn ONERA M6 test 2308"
"3","27","0.20029","0.65","0.04411","-0.544","upper","NASA Glenn ONERA M6 test 2308"
"3","26","0.25024","0.65","0.04647","-0.594","upper","NASA Glenn ONERA M6 test 2308"
"3","25","0.30008","0.65","0.048","-0.632","upper","NASA Glenn ONERA M6 test 2308"
"3","24","0.35024","0.65","0.04879","-0.664","upper","NASA Glenn ONERA M6 test 2308"
"3","23","0.40037","0.65","0.04886","-0.692","upper","NASA Glenn ONERA M6 test 2308"
"3","22","0.4501","0.65","0.04813","-0.725","upper","NASA Glenn ONERA M6 test 2308"
"3","21","0.50024","0.65","0.04649","-0.301","upper","NASA Glenn ONERA M6 test 2308"
"3","20","0.55042","0.65","0.04392","-0.236","upper","NASA Glenn ONERA M6 test 2308"
"3","19","0.60071","0.65","0.04073","-0.205","upper","NASA Glenn ONERA M6 test 2308"
"3","18","0.65026","0.65","0.03711","-0.164","upper","NASA Glenn ONERA M6 test 2308"
"3","17","0.71034","0.65","0.03218","-0.121","upper","NASA Glenn ONERA M6 test 2308"
"3","16","0.78008","0.65","0.02563","-0.052","upper","NASA Glenn ONERA M6 test 2308"
"3","15","0.85001","0.65","0.01815","0.032","upper","NASA Glenn ONERA M6 test 2308"
"3","14","0.92012","0.65","0.01023","0.123","upper","NASA Glenn ONERA M6 test 2308"
